id,source,prefecture,region,agency,agency_type,title,category,bid_method,announced_date,deadline,budget,spec_status,spec_reason,winner,win_price,detail_url,external_id
7106,京都府入札情報公開,京都府,近畿,建設交通部 京都府山城南土木事務所,都道府県,管内一円小修繕（照明）工事（山南８小修繕第１１号）,電気工事,一般競争入札,2026-05-11,2026-05-18,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-26-管内一円小修繕（照明）工事（山南８小
7107,京都府入札情報公開,京都府,近畿,建設交通部 京都府中丹西土木事務所,都道府県,管内一円 道路維持修繕（小修繕）工事（中西８道維修（小修繕）第９９９号の１の１２）,電気工事,指名競争入札,2026-04-30,2026-04-30,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-27-管内一円 道路維持修繕（小修繕）工事
7108,京都府入札情報公開,京都府,近畿,建設交通部 京都府丹後土木事務所,都道府県,国道１７８号ほか道路維持修繕（小修繕）工事（丹後８道維修（小修繕）第９９９号の１の２８）,電気工事,一般競争入札,2026-04-30,2026-05-11,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-28-国道１７８号ほか道路維持修繕（小修繕
7109,京都府入札情報公開,京都府,近畿,建設交通部 京都府丹後土木事務所,都道府県,国道１７６号ほか道路維持修繕（小修繕）工事（丹後８道維修（小修繕）第９９９号の１の６）,電気工事,一般競争入札,2026-04-30,2026-05-11,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-29-国道１７６号ほか道路維持修繕（小修繕
7110,京都府入札情報公開,京都府,近畿,その他発注機関 京都府南丹広域振興局（地域連携・振興部）,都道府県,亀岡総合庁舎受変電設備更新工事,電気工事,一般競争入札,2026-04-28,2026-05-12,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-30-亀岡総合庁舎受変電設備更新工事
7111,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立洛西高等学校受変電設備改修工事,電気工事,一般競争入札,2026-04-24,2026-05-11,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-31-府立洛西高等学校受変電設備改修工事
7112,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立海洋高等学校受変電設備改修工事,電気工事,一般競争入札,2026-04-24,2026-05-11,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-32-府立海洋高等学校受変電設備改修工事
7113,京都府入札情報公開,京都府,近畿,その他発注機関 京都府山城広域振興局（地域連携・振興部）,都道府県,木津総合庁舎受変電設備更新工事,電気工事,一般競争入札,2026-04-24,2026-05-01,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-33-木津総合庁舎受変電設備更新工事
7114,京都府入札情報公開,京都府,近畿,その他発注機関 京都府丹後広域振興局（地域連携・振興部）,都道府県,宮津総合庁舎受変電設備改修工事(Ⅱ期),電気工事,一般競争入札,2026-04-24,2026-05-01,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-34-宮津総合庁舎受変電設備改修工事(Ⅱ期
5264,官公需API,京都府,近畿,農林水産省,国の機関,令和８年度京都農林水産総合庁舎本館照明設備改修工事,電気工事,一般競争入札,2026-04-23,,,unknown,,,,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,KKJ-c2VhcmNoL3BfcG9ydGFsLzIwMjYvMDQvMjAyNjA0MjNfNzAxOTAK
